countries,year,education_exports
China,1998,117
China,1999,178
China,2000,299
China,2001,597
China,2002,937
China,2003,1314
China,2004,1713
China,2005,1979
China,2006,2287
China,2007,2789
China,2008,3615
China,2009,4204
China,2010,4618
China,2011,4684
China,2012,4545
China,2013,4739
China,2014,5207
China,2015,6015
China,2016,8097
China,2017,10020
China,2018,11711
China,2019,12655
India,1998,203
India,1999,268
India,2000,300
India,2001,339
India,2002,306
India,2003,390
India,2004,605
India,2005,821
India,2006,1057
India,2007,1651
India,2008,2549
India,2009,3271
India,2010,2994
India,2011,2271
India,2012,1635
India,2013,1459
India,2014,1987
India,2015,2601
India,2016,2885
India,2017,3431
India,2018,4573
India,2019,6403
Nepal,1998,32
Nepal,1999,40
Nepal,2000,45
Nepal,2001,52
Nepal,2002,46
Nepal,2003,39
Nepal,2004,35
Nepal,2005,36
Nepal,2006,59
Nepal,2007,176
Nepal,2008,402
Nepal,2009,631
Nepal,2010,638
Nepal,2011,596
Nepal,2012,529
Nepal,2013,510
Nepal,2014,651
Nepal,2015,796
Nepal,2016,871
Nepal,2017,1304
Nepal,2018,2137
Nepal,2019,2973
Vietnam,1998,93
Vietnam,1999,117
Vietnam,2000,130
Vietnam,2001,140
Vietnam,2002,132
Vietnam,2003,132
Vietnam,2004,149
Vietnam,2005,164
Vietnam,2006,205
Vietnam,2007,291
Vietnam,2008,492
Vietnam,2009,731
Vietnam,2010,864
Vietnam,2011,901
Vietnam,2012,845
Vietnam,2013,962
Vietnam,2014,1152
Vietnam,2015,1230
Vietnam,2016,1169
Vietnam,2017,1254
Vietnam,2018,1343
Vietnam,2019,1449
Malaysia,1998,365
Malaysia,1999,321
Malaysia,2000,325
Malaysia,2001,399
Malaysia,2002,462
Malaysia,2003,544
Malaysia,2004,577
Malaysia,2005,546
Malaysia,2006,594
Malaysia,2007,677
Malaysia,2008,791
Malaysia,2009,872
Malaysia,2010,860
Malaysia,2011,840
Malaysia,2012,821
Malaysia,2013,830
Malaysia,2014,852
Malaysia,2015,943
Malaysia,2016,1189
Malaysia,2017,1334
Malaysia,2018,1405
Malaysia,2019,1372
Indonesia,1998,457
Indonesia,1999,539
Indonesia,2000,516
Indonesia,2001,564
Indonesia,2002,533
Indonesia,2003,525
Indonesia,2004,500
Indonesia,2005,445
Indonesia,2006,461
Indonesia,2007,495
Indonesia,2008,552
Indonesia,2009,590
Indonesia,2010,615
Indonesia,2011,604
Indonesia,2012,631
Indonesia,2013,643
Indonesia,2014,666
Indonesia,2015,735
Indonesia,2016,764
Indonesia,2017,833
Indonesia,2018,899
Indonesia,2019,1009
Brazil,1998,19
Brazil,1999,24
Brazil,2000,35
Brazil,2001,60
Brazil,2002,74
Brazil,2003,74
Brazil,2004,94
Brazil,2005,130
Brazil,2006,201
Brazil,2007,274
Brazil,2008,386
Brazil,2009,437
Brazil,2010,377
Brazil,2011,346
Brazil,2012,338
Brazil,2013,407
Brazil,2014,549
Brazil,2015,625
Brazil,2016,606
Brazil,2017,777
Brazil,2018,972
Brazil,2019,1050
South Korea,1998,262
South Korea,1999,251
South Korea,2000,272
South Korea,2001,409
South Korea,2002,406
South Korea,2003,482
South Korea,2004,544
South Korea,2005,600
South Korea,2006,799
South Korea,2007,981
South Korea,2008,1139
South Korea,2009,1145
South Korea,2010,1052
South Korea,2011,922
South Korea,2012,850
South Korea,2013,863
South Korea,2014,889
South Korea,2015,948
South Korea,2016,913
South Korea,2017,966
South Korea,2018,984
South Korea,2019,997
Pakistan,1998,42
Pakistan,1999,45
Pakistan,2000,44
Pakistan,2001,51
Pakistan,2002,47
Pakistan,2003,49
Pakistan,2004,55
Pakistan,2005,63
Pakistan,2006,78
Pakistan,2007,120
Pakistan,2008,172
Pakistan,2009,206
Pakistan,2010,245
Pakistan,2011,317
Pakistan,2012,359
Pakistan,2013,442
Pakistan,2014,535
Pakistan,2015,638
Pakistan,2016,613
Pakistan,2017,636
Pakistan,2018,716
Pakistan,2019,822
Colombia,1998,4
Colombia,1999,11
Colombia,2000,25
Colombia,2001,47
Colombia,2002,50
Colombia,2003,47
Colombia,2004,41
Colombia,2005,41
Colombia,2006,71
Colombia,2007,138
Colombia,2008,215
Colombia,2009,276
Colombia,2010,262
Colombia,2011,228
Colombia,2012,250
Colombia,2013,297
Colombia,2014,325
Colombia,2015,368
Colombia,2016,368
Colombia,2017,493
Colombia,2018,642
Colombia,2019,820
